Location,Cuisine,Rating,Seating Capacity,Average Meal Price,Marketing Budget,Social Media Followers,Chef Experience Years,Number of Reviews,Avg Review Length,Ambience Score,Service Quality Score,Parking Availability,Weekend Reservations,Weekday Reservations,Revenue
1,0,37,43,3883,796,9045,11,203,24586884562273600,44,41,0,18,10,3840516
0,2,49,74,4077,8060,88657,10,777,1286398523032280,82,24,0,49,31,69735707
2,0,30,51,3889,2911,36596,14,95,10357505173530000,74,51,1,43,46,46445992
0,2,38,76,3507,6004,59758,6,230,11902280001318000,20,89,1,5,34,60897671
0,3,48,85,5218,8349,88037,7,621,24109835625953700,82,70,0,30,42,100785501
0,0,35,80,4213,3278,41075,9,805,2601198627563240,51,77,1,72,72,76816507
0,2,35,80,4045,1919,23426,3,275,22487623429282400,13,18,1,47,33,7210698
1,5,36,41,3443,3557,39751,12,81,1603068924272210,30,51,0,25,8,33381821
0,2,42,82,3873,2709,27371,16,396,11564086418963000,81,85,1,5,63,72867103
0,2,39,77,4047,7011,77577,13,495,1563122606235310,76,85,1,36,46,7221995
0,0,45,85,3754,6809,75456,6,224,27863165490731100,27,99,1,20,8,72659252
1,3,48,50,5179,1062,18043,13,878,2657988854392480,13,57,0,41,2,59007862
0,3,43,70,5476,2549,31340,5,655,1308440518548390,37,10,0,51,44,8587235
0,3,34,82,5187,5039,58390,4,949,13198520401759400,82,91,0,66,20,96096828
1,3,49,40,5575,2769,29693,8,179,24499351244473200,94,96,0,24,33,5150439
1,4,35,33,661,1180,15935,3,712,15664351314613000,62,93,0,20,27,49555215
1,0,33,33,3983,1280,17016,2,872,1931807021236650,18,79,0,10,32,30088907
0,1,32,84,6575,1479,21198,19,346,15557943509089200,55,29,0,26,39,124098115
1,0,41,32,3918,2990,29432,7,301,11058470495909000,100,23,1,27,17,29600596
1,4,32,48,7314,2936,31610,12,501,972134422139319,94,73,1,3,4,79669616
0,3,33,90,4533,3122,29756,4,470,8488542985843240,99,23,1,40,45,91451815
1,4,36,31,7264,1175,10656,10,700,5285569511110280,73,96,1,20,19,51813122
0,5,36,75,3528,4869,53171,9,981,1201541141759590,48,50,0,47,45,60854381
2,5,42,57,2921,1342,12643,12,533,9285214757774190,90,13,0,25,40,38738823
1,0,46,46,3523,2253,27549,11,832,11448760667387600,91,24,0,20,30,37983947
2,0,45,54,3531,4213,50835,19,406,6895100237495910,23,36,0,38,41,4519888
0,1,35,71,6481,1690,16080,2,884,13538984074826600,80,73,0,67,52,103020008
1,1,35,41,6295,2944,29455,6,673,17998964742691000,93,76,1,36,32,5911934
0,5,49,74,2617,3471,35561,6,207,2861428537352790,91,29,0,48,21,4453153
2,3,30,59,456,1063,14037,1,618,13676799090388800,74,68,1,54,57,60589155
0,4,48,78,7385,9150,91714,7,751,5775574479292470,58,13,0,67,7,12973333
1,1,34,49,6391,940,12648,12,594,1405910958338680,80,19,1,22,8,70791591
1,2,49,37,3133,4021,49725,12,882,25430607186417500,56,58,1,8,10,28241268
2,1,37,50,5832,2654,29751,6,50,13503681664793400,39,73,1,39,30,65979663
0,3,39,75,5358,6155,65421,14,692,12293266764743500,33,92,1,23,36,91735027
1,3,44,40,5078,1308,17465,17,58,2797487852780440,59,49,0,28,19,47257071
2,0,42,52,4552,2334,30509,17,558,12430731954865700,51,21,0,6,51,54771885
1,4,36,44,7029,3194,38190,18,593,2925654209801130,57,94,0,17,22,71349225
1,3,41,40,5245,2715,31620,13,638,25815893510770800,33,49,1,1,8,48396355
0,1,45,74,6061,8378,89801,13,862,2210624797433430,63,55,0,27,45,102429063
1,1,31,45,6537,638,9937,11,144,19958156835322100,70,87,0,42,17,66867003
0,5,30,90,2939,5425,52699,3,746,10619514493643400,83,63,0,40,25,6037517
1,3,39,36,4753,881,15038,17,326,23259960919378400,63,37,1,28,15,40149571
2,2,33,55,3359,3200,38583,2,584,1367845324803210,78,59,1,44,49,42446257
1,0,43,38,4438,1800,23928,2,971,17141054004208200,25,66,0,16,19,38327206
0,4,34,76,7048,4226,48246,7,166,7601719551449020,21,90,0,16,15,11968873
0,2,39,72,339,3412,35971,10,505,12403852748518100,26,31,1,30,15,55683725
2,0,34,60,4099,3388,35405,14,409,1822798669777930,86,60,1,22,48,57044815
1,1,41,41,5647,3396,39804,19,79,16701032839558700,60,93,0,9,31,54319513
1,2,32,50,3006,772,7457,17,932,13587828877539700,51,14,0,5,37,35406437
2,0,30,60,3809,654,7708,16,374,167982488789299,79,28,1,37,58,52758555
1,1,31,31,6166,694,10727,17,969,23623153352607500,21,41,0,23,16,44462983
1,1,49,30,6283,1941,21205,18,123,16483139104616800,11,71,1,14,24,44149839
0,1,33,71,6409,4159,47693,11,881,1765391179311080,38,86,1,26,52,102911958
1,1,44,43,6519,1236,20136,19,468,22528652030261000,32,28,0,10,35,64262458
1,1,31,42,5953,2365,23206,11,967,26040370079076100,38,32,1,19,41,57227054
2,5,32,54,3315,2300,22694,10,856,18171594446433700,98,84,1,45,53,4206773
2,2,40,51,3082,2537,29430,14,872,2870439037706250,61,23,0,4,23,37028172
0,0,39,88,3563,1647,24710,14,791,13836186087283200,63,34,0,31,78,71468303
1,5,49,46,2637,3976,49139,10,312,11313874534699300,69,76,0,4,20,29257921
1,5,49,40,2993,4192,43570,4,495,2232724670471860,46,25,1,21,39,2809891
1,3,46,45,4732,3708,46116,10,600,9393743415978220,98,85,1,0,15,4952662
0,3,42,89,4816,5636,62047,6,453,27499196312412800,98,54,1,19,82,96961307
0,3,39,87,5213,5491,53983,11,153,14664354571557900,79,50,1,50,19,102552151
2,4,37,69,6894,1783,20842,18,489,22453716369330800,29,22,0,31,4,106940984
0,3,49,77,5113,2651,29687,6,913,19254588062248400,89,71,1,58,14,8871734
1,0,42,31,3954,2332,24541,15,755,635977147222775,19,90,1,22,7,29626877
1,5,42,46,2686,2683,31728,6,192,22726967683657400,67,72,1,27,9,2904995
0,0,35,80,3581,5792,57816,1,763,24750118255094000,51,39,0,27,74,64961281
1,2,31,43,326,2343,21703,9,966,29561810769905100,14,73,1,16,33,32847325
1,3,49,45,4563,3819,44311,14,256,1540319166090130,91,56,1,33,43,48295758
0,4,36,84,718,4463,50781,3,595,17573289198853700,96,87,1,59,56,135166335
0,2,39,84,3875,3588,37026,1,852,2687168341591220,92,51,0,58,71,73493105
1,4,32,32,6874,2314,28085,14,932,11729932825431200,27,31,1,27,7,50770633
1,2,47,36,3426,4600,48778,14,310,9728565818163430,40,19,1,23,23,2985907
1,5,31,41,3398,1092,12071,4,873,8322756827149280,96,35,0,1,33,32079929
2,0,47,52,3745,4054,44969,14,132,294563053295931,20,61,1,26,39,4555583
2,1,33,68,5631,2623,26229,4,312,11758980888564200,62,25,0,8,20,85436515
2,0,48,59,4051,4522,51688,11,870,23934862495712500,54,14,0,51,51,55306913
0,3,45,77,5211,7924,87894,9,799,1624167886197090,24,50,0,35,65,91452063
2,1,33,65,616,2905,30441,11,221,11014384367614800,90,41,1,56,18,90530595
0,4,41,85,7285,5772,60604,15,747,2783334499017430,22,48,0,10,13,13894605
0,5,36,81,2562,2050,20944,6,411,1659518754357780,63,51,1,31,75,4738331
2,5,34,54,2971,2681,31607,12,91,19148884845477400,39,79,1,26,36,37687633
2,4,47,69,6762,4673,49681,13,789,10562337088100600,48,96,0,51,19,105781077
2,3,38,55,5335,3207,38390,18,323,13103807816621900,29,34,1,38,19,6741677
1,4,38,35,746,888,17622,14,823,23692188847592500,66,95,0,23,30,6016719
2,2,33,57,3309,2379,22982,11,549,13576119316599600,99,31,1,26,28,43816493
1,3,38,46,4605,1508,22286,2,181,17648963750391900,85,78,1,26,10,4794538
0,1,47,81,5779,2921,32339,19,502,7858886929510050,71,71,1,39,55,106367152
1,4,37,43,6614,2640,31845,2,959,26251661541336000,78,15,1,31,10,63967237
2,3,49,51,4855,1084,14384,17,474,23439540785181900,86,75,1,44,17,5735597
0,1,49,88,6092,6840,73639,8,992,24018621349784100,53,91,1,85,73,121480155
0,4,33,75,7571,6225,61155,5,658,9454629951551280,61,94,0,48,17,127491915
0,5,34,87,2939,3199,39133,11,102,17378903819099900,91,72,0,47,8,58769327
1,4,47,33,6742,2893,33044,1,838,5688531966436950,73,81,0,0,5,50394914
2,0,38,54,3683,3669,38003,16,446,12877226944955100,22,16,1,52,11,46406752
0,4,30,75,669,3371,38753,5,243,1370048801917310,80,25,1,33,0,111877035
0,0,35,84,3712,4439,44067,16,448,2784225433841870,12,34,0,0,73,71362713
0,1,42,75,6338,4177,46151,5,513,2981956997328450,86,58,1,41,65,106953383
1,4,46,37,6567,2349,24573,10,404,20443647538745900,81,45,0,34,7,55667663
1,1,33,38,6597,1981,21421,9,222,1791921877633310,85,69,0,28,24,57361933
2,1,32,70,6075,1965,22135,19,389,16002223356790100,12,50,0,17,29,96102425
1,3,48,35,5099,1437,21483,3,242,54574059346229400,98,80,0,5,26,40803269
0,1,45,71,5893,6254,71777,9,479,25002913656071500,65,74,0,5,43,94900906
2,1,42,65,6259,1095,19838,8,436,2179564610284080,82,77,1,38,31,91474376
0,4,45,89,7019,3079,38554,4,706,21232143754835100,61,85,0,54,5,13914727
0,4,39,70,6862,4270,46958,11,706,2522608472579580,41,85,1,18,58,108462462
1,5,45,45,2792,1184,17899,4,517,28201355039894300,37,80,0,37,19,29027007
2,3,37,50,5518,2134,21130,12,837,14738250472583100,16,16,0,2,13,6245802
1,1,35,30,582,894,17248,7,821,15660072420386900,59,66,0,20,22,4019138
1,3,45,36,498,1387,18172,8,380,2937847475409580,23,12,1,19,12,4076661
2,0,38,65,3885,3203,40009,10,576,21610621275912800,61,77,0,4,47,57986805
0,1,50,86,5595,2788,29471,13,874,26283776767640200,66,15,0,24,59,10828597
0,3,37,85,4705,7087,75471,14,478,10539238465094300,50,98,1,52,46,9172067
2,5,48,65,2708,1301,20889,16,844,12926879774898800,24,65,1,11,9,41115935
0,5,49,75,3263,7490,83579,7,265,14790130679881500,49,26,1,68,45,56632889
2,1,35,67,5947,3482,42354,16,325,12923327819193300,89,52,1,11,7,90471447
2,0,46,52,436,2048,23729,17,157,2710617535226330,51,84,0,17,17,52632165
1,5,39,37,328,974,10205,19,305,17787754896479900,41,26,0,2,11,29113605
2,5,48,53,2711,1058,13989,12,128,28841177655070100,67,58,0,3,20,33608175
1,0,39,33,4119,1943,21259,9,439,1303306110537810,66,10,1,18,25,31710675
0,3,45,86,5317,7360,73821,8,579,5931115756585800,18,81,1,84,10,103524081
0,5,39,74,3196,4208,42784,9,391,8451535492084000,31,28,1,66,10,54155592
0,4,35,83,716,4178,40934,5,354,10426760815370600,54,45,1,6,51,13245261
0,2,34,84,3814,1721,23946,10,774,20999242519592000,43,58,1,8,29,72341142
1,2,39,41,3062,1215,18734,5,969,9527197417360580,39,23,1,3,0,28782604
0,5,45,82,3305,3257,41958,14,258,14537463098878400,50,93,0,54,51,62563155
2,3,42,67,480,1924,24893,18,60,24884670603387800,36,52,1,22,14,73268265
2,3,44,63,5129,3629,39929,7,195,8118975378201310,41,31,0,10,27,72797581
2,1,36,68,5767,1284,12332,8,84,7012003457531110,80,76,1,64,62,88459866
1,4,40,36,7423,814,11430,5,616,184992557427849,56,90,0,3,4,60107343
0,3,31,75,5029,1939,19150,6,400,22451725482846100,89,92,1,8,44,84834433
0,0,46,74,4207,5747,61983,9,589,27773829707351800,95,49,1,41,40,71429174
0,4,50,73,7373,5911,66446,9,905,21549416824080400,93,42,1,70,71,121886624
1,2,38,47,3985,2052,26670,8,725,286544719444567,33,94,1,25,37,43285825
2,4,30,63,7305,2438,26300,17,158,11113151073716800,53,15,0,53,44,10406447
2,0,33,65,3664,1236,19988,8,73,13545531708379300,58,78,1,20,37,54145828
0,5,43,89,344,6478,65379,1,722,2598274196105810,87,26,0,9,51,69363435
2,0,42,63,418,1770,19423,18,548,25276345510982000,60,52,1,9,45,60729395
2,0,46,54,417,2145,22710,15,421,21622258979254700,33,96,1,0,52,5219576
1,5,35,40,3513,1522,23226,16,214,1765060764695470,59,62,1,35,29,33590942
1,5,45,41,2774,1393,22055,2,446,5442784821678720,14,57,1,2,3,25885041
1,5,44,47,2764,3015,37180,13,321,12011098935094900,85,16,1,34,1,31053942
1,5,36,33,3065,2524,28352,2,673,8958437638488760,61,35,0,11,20,2358073
0,5,41,82,3326,6967,70628,14,476,6279370418719930,69,10,1,80,60,63482338
1,0,33,49,3992,1773,24932,7,122,24401992981106900,28,89,1,18,32,44737762
2,1,39,62,6197,2255,29779,11,99,8282802568844040,60,68,0,9,13,86526145
0,1,48,73,5998,6212,63673,15,672,13935322319554900,58,21,1,42,57,99763393
2,3,38,56,5171,917,15305,17,574,294364219366107,66,43,1,25,27,66259911
2,1,47,51,6404,2430,30277,17,120,15228835634349600,86,83,1,7,45,74944169
2,2,42,70,3199,4035,40734,15,980,8537659730514810,79,23,0,51,40,52346699
1,1,34,47,6265,992,15247,16,541,22244059411275300,59,31,1,38,8,6715707
1,0,42,50,4366,3759,37523,9,523,25248542699726000,90,59,0,1,33,50457209
0,5,40,75,2992,7781,78661,19,250,11978767426804100,42,23,0,38,74,53314159
0,5,38,85,2856,3479,40110,9,852,2523377520834540,54,44,0,53,18,55650016
1,0,32,32,3515,2260,30345,6,73,11788026968321200,68,98,1,23,28,2674771
2,2,38,64,3877,852,15906,1,518,22327795953649200,50,59,0,39,55,5566040
0,1,31,90,5861,5541,58801,5,486,8120090488586630,43,73,0,28,43,118238796
1,0,32,49,3893,1939,20107,5,263,1569557371921570,20,70,0,7,37,4334106
1,3,38,39,487,1629,22679,1,344,18012348629138900,67,29,0,14,8,42708355
1,5,36,38,3049,900,10927,1,196,23132089433728400,27,86,1,25,6,26362132
2,4,49,60,7273,2805,34074,6,989,212507797469388,22,21,1,47,30,97731161
1,3,38,43,5349,1765,18516,9,431,2633357000032890,26,93,1,35,2,52507976
1,2,45,41,3432,2785,27596,19,735,9607276697789670,72,29,0,40,7,34084962
1,3,41,36,5229,3828,42704,5,478,21531163723539800,22,96,1,3,8,43256275
1,0,44,40,4293,3846,45447,17,465,8193752557992120,98,82,0,32,14,41301293
0,1,35,86,5827,4894,50578,12,54,16951998028948200,78,25,1,11,7,112563394
0,5,49,78,2606,5628,56521,6,893,18113938260138900,45,24,0,49,64,47060575
1,2,41,42,3984,3764,39174,13,921,5681585584663430,63,18,1,10,35,39473782
2,2,47,65,3745,3094,30981,8,439,6758917400323460,11,32,0,52,6,5524909
0,4,37,72,7213,4291,41717,3,899,2598179527422890,86,69,1,49,9,116259973
1,3,32,34,4565,1758,22600,11,56,12169708952169300,34,57,0,29,20,36157575
0,4,43,86,740,5864,62668,1,772,13653628743593300,16,65,1,30,34,14169754
0,1,30,70,6123,4751,50603,14,832,2101015567271140,78,13,1,1,47,97146559
2,1,40,70,6433,974,14261,13,539,10517865662509800,40,17,0,65,62,101345086
1,4,34,38,7572,2053,28918,15,378,9821564582970370,61,72,1,11,32,6603292
1,5,43,46,3553,3277,37296,8,325,15538525736774600,86,86,1,17,11,38295436
2,1,50,62,6442,4415,51952,15,289,6474917336134420,80,42,1,7,12,90681684
2,4,39,64,6512,2228,23564,13,876,27924256260139700,40,25,0,2,30,93732796
1,3,46,50,5474,2150,27020,1,53,28502722286225700,88,38,0,34,14,61401252
1,4,40,37,6583,2173,29530,11,763,16205004111800300,45,47,1,32,34,55962727
2,4,40,57,7436,1282,17743,15,155,1023098505036980,55,67,0,30,8,95528171
0,0,49,71,3808,9699,102358,4,89,16764364866110000,65,47,1,67,69,6267292
0,1,48,79,6171,2197,29466,6,626,7498329748220200,16,91,1,22,66,109044599
2,5,46,54,2542,1473,17069,12,596,1494493291210170,64,46,0,36,51,32458341
0,5,36,85,3348,6580,69223,1,605,6841638717154750,62,26,0,44,13,64507971
2,0,41,68,3623,3500,39160,10,312,2265414258700230,89,32,0,34,13,56512197
0,2,34,70,3452,3225,37690,18,711,11892838752768200,42,52,0,64,48,56390184
0,5,39,82,3399,6004,67342,1,328,1801648708100700,32,80,0,2,64,63226486
1,4,40,33,7265,3590,43377,7,626,53384837575161000,53,88,1,9,32,55087605
1,0,47,36,3507,1512,20658,2,393,1811591156004990,72,27,0,29,23,28935242
0,3,48,70,4943,4179,50275,8,837,5081698444051920,61,10,0,27,9,78154763
0,1,38,71,5546,7330,73117,1,593,2812980438015080,22,88,0,3,38,88695825
1,1,30,45,6241,921,10700,19,528,17528947339987400,41,31,1,44,17,64443006
1,1,47,43,6566,4034,42924,6,914,7501662395448190,16,84,0,3,9,64013334
1,4,33,34,7221,3140,32514,11,213,1352636965463010,77,60,0,22,5,56423703
2,3,42,63,4747,4175,49664,19,451,61516783357741600,89,46,1,39,34,6938066
0,0,30,86,3891,1654,19454,10,534,18272385820239700,14,23,1,22,68,75270454
1,0,38,41,4574,3570,44348,16,402,8058580396311040,57,70,0,14,8,44243214
0,1,50,89,5746,9157,99485,16,722,16827688027820800,61,84,1,76,66,117151593
2,3,32,61,5118,3103,32294,10,886,12637697094086300,49,51,1,0,56,7096209
2,3,38,52,494,3779,37179,18,131,24039585062253300,55,50,0,36,46,59765745
1,3,36,50,5345,974,17166,18,314,17056382068011600,74,78,0,23,47,6175663
2,5,48,70,3454,1665,24849,3,91,26204632271364100,54,55,1,43,60,54542777
0,5,47,71,2875,5538,57313,12,248,2853370947147720,93,81,1,64,7,48144365
1,1,35,50,6226,864,16308,10,432,29238121706422700,59,15,1,44,9,70172218
0,3,32,90,5104,1475,14263,16,256,11504908812391100,16,87,0,76,24,103569005
0,2,43,84,3306,6217,69639,9,159,24189217250084800,96,34,1,37,66,64020239
2,3,37,60,4799,2487,24540,18,693,15952770507365,23,25,0,16,53,66064341
2,0,43,59,4092,3436,38366,13,479,15654328908516600,81,13,0,55,39,5583041
2,0,31,67,3669,1262,17309,14,792,26705760356064500,57,85,1,50,46,56731706
2,1,33,70,6392,3107,39041,19,121,8641722580880780,77,15,0,29,47,101520607
2,2,44,51,3076,3409,42852,14,457,1694525769890140,56,96,1,19,18,37446666
1,3,34,36,4604,2186,23445,2,889,19822080992845500,15,61,0,4,16,37592941
0,2,47,76,3376,5779,64754,11,685,6653085676935500,44,73,0,68,25,59516732
0,1,31,76,563,1990,27591,8,758,2661285635486960,66,75,0,36,41,96232285
0,0,34,83,4023,1547,20996,3,328,12858477709843000,67,36,0,79,5,74681633
0,0,50,71,394,8590,88275,15,156,2142049118465090,98,83,0,20,59,65740395
2,5,39,51,3294,2651,29854,13,488,28202000039887400,65,95,1,33,4,39657084
0,1,44,84,6548,7175,77600,8,915,22993867982509900,36,43,0,69,34,123973702
1,1,34,40,6329,2351,22108,13,704,2715026336898610,14,85,1,5,35,5809419
1,3,42,39,4697,963,12078,16,100,6738617055265500,81,79,0,9,34,42943888
0,3,45,72,5529,4993,50577,1,172,17318366852018400,90,63,0,5,11,89170971
0,5,36,86,2931,6460,68476,2,611,19120803142125400,65,43,0,66,44,57698444
1,4,47,38,7022,2696,33410,13,480,22225972015854000,53,47,0,24,3,61094128
1,2,42,44,3464,1368,17586,14,900,7921456348976720,87,38,0,19,7,35967298
2,4,38,63,6809,2244,25275,2,842,21419732001356800,32,48,0,34,26,95583688
1,4,41,48,7485,1518,24197,16,600,8649838771735810,46,99,0,0,27,8167810
2,1,42,66,5865,1199,20699,14,373,6690320180316490,56,43,1,51,7,87365825
2,2,33,69,3636,981,12078,7,991,1673298019761780,14,70,0,30,43,56734764
2,1,38,66,5764,1940,23254,14,889,20009382150543200,72,39,0,5,53,86187238
2,2,37,65,3877,1776,17886,18,424,2895294069345650,27,52,0,8,13,57906142
2,0,38,69,4352,2098,21621,17,923,22465635684615800,40,18,0,11,40,68582429
0,1,45,77,5826,4665,53437,5,830,19784769037133900,47,79,0,65,69,101287457
1,1,40,36,625,1266,16523,11,727,10364122522410500,67,69,0,2,21,51616665
2,1,49,61,6274,3629,42364,18,597,8801109170366630,16,41,0,12,24,8700080
1,5,36,30,3119,1163,12374,16,470,2018183061924270,41,57,1,8,7,22958935
1,1,38,41,6161,923,17715,10,987,10573725983863300,35,88,0,39,38,57833441
2,3,46,55,5132,3716,37464,6,425,2266512730517540,10,14,1,40,39,63770088
0,3,41,85,459,5416,63220,14,158,7861927296536850,72,94,0,71,3,8917261
2,2,41,67,3737,1238,12549,2,804,1349089558538000,31,52,0,21,34,56062781
0,0,31,88,4017,6049,66318,9,540,24327169086045500,25,87,1,79,80,80861267
